198;;CUNEIFORM SIGN GA2 TIMES DI;;120C4;;ga<sub>2</sub>×di
199;;CUNEIFORM SIGN GA2 TIMES DIM TIMES SHE;;120C5;;ga<sub>2</sub>×dim×še
200;;CUNEIFORM SIGN GA2 TIMES DUB;;120C6;;ga<sub>2</sub>×dub
201;;CUNEIFORM SIGN GA2 TIMES EL;;120C7;;ga<sub>2</sub>×el
202;;CUNEIFORM SIGN GA2 TIMES EL PLUS LA;;120C8;;ga<sub>2</sub>×el+la
203;;CUNEIFORM SIGN GA2 TIMES EN;;120C9;;ga<sub>2</sub>×en
204;;CUNEIFORM SIGN GA2 TIMES EN TIMES GAN2 TENU;;120CA;;ga<sub>2</sub>×en×gan<sub>2</sub>tenû
205;;CUNEIFORM SIGN GA2 TIMES GAN2 TENU;;120CB;;ga<sub>2</sub>×gan<sub>2</sub>tenû
206;;CUNEIFORM SIGN GA2 TIMES GAR;;120CC;;ga<sub>2</sub>×gar
207;;CUNEIFORM SIGN GA2 TIMES GI;;120CD;;ga<sub>2</sub>×gi
208;;CUNEIFORM SIGN GA2 TIMES GI4;;120CE;;ga<sub>2</sub>×gi<sub>4</sub>
209;;CUNEIFORM SIGN GA2 TIMES GI4 PLUS A;;120CF;;ga<sub>2</sub>×gi<sub>4</sub>+a
210;;CUNEIFORM SIGN GA2 TIMES GIR2 PLUS SU;;120D0;;ga<sub>2</sub>×gir<sub>2</sub>+su
211;;CUNEIFORM SIGN GA2 TIMES HA PLUS LU PLUS ESH2;;120D1;;ga<sub>2</sub>×ḫa+lu+eš<sub>2</sub>
212;;CUNEIFORM SIGN GA2 TIMES HAL;;120D2;;ga<sub>2</sub>×ḫal
213;;CUNEIFORM SIGN GA2 TIMES HAL PLUS LA;;120D3;;ga<sub>2</sub>×ḫal+la
214;;CUNEIFORM SIGN GA2 TIMES HI PLUS LI;;120D4;;ga<sub>2</sub>×ḫi
215;;CUNEIFORM SIGN GA2 TIMES HUB2;;120D5;;ga<sub>2</sub>×ḫub<sub>2</sub>
216;;CUNEIFORM SIGN GA2 TIMES IGI GUNU;;120D6;;ga<sub>2</sub>×igigunû
217;;CUNEIFORM SIGN GA2 TIMES ISH PLUS HU PLUS ASH;;120D7;;ga<sub>2</sub>×iš+ḫu+aš
218;;CUNEIFORM SIGN GA2 TIMES KAK;;120D8;;ga<sub>2</sub>×kak
219;;CUNEIFORM SIGN GA2 TIMES KASKAL;;120D9;;ga<sub>2</sub>×kaskal
220;;CUNEIFORM SIGN GA2 TIMES KID;;120DA;;ga<sub>2</sub>×kid
221;;CUNEIFORM SIGN GA2 TIMES KID PLUS LAL;;120DB;;ga<sub>2</sub>×kid+lal
222;;CUNEIFORM SIGN GA2 TIMES KU3 PLUS AN;;120DC;;ga<sub>2</sub>×ku<sub>3</sub>+an
223;;CUNEIFORM SIGN GA2 TIMES LA;;120DD;;ga<sub>2</sub>×la
224;;CUNEIFORM SIGN GA2 TIMES ME PLUS EN;;120DE;;ga<sub>2</sub>×me+en
225;;CUNEIFORM SIGN GA2 TIMES MI;;120DF;;ga<sub>2</sub>×mi
226;;CUNEIFORM SIGN GA2 TIMES NUN;;120E0;;ga<sub>2</sub>×nun
227;;CUNEIFORM SIGN GA2 TIMES NUN OVER NUN;;120E1;;ga<sub>2</sub>×nun/nun
228;;CUNEIFORM SIGN GA2 TIMES PA;;120E2;;ga<sub>2</sub>×pa
229;;CUNEIFORM SIGN GA2 TIMES SAL;;120E3;;ga<sub>2</sub>×sal
230;;CUNEIFORM SIGN GA2 TIMES SAR;;120E4;;ga<sub>2</sub>×sar
231;;CUNEIFORM SIGN GA2 TIMES SHE;;120E5;;ga<sub>2</sub>×še
232;;CUNEIFORM SIGN GA2 TIMES SHE PLUS TUR;;120E6;;ga<sub>2</sub>×še+tur
233;;CUNEIFORM SIGN GA2 TIMES SHID;;120E7;;ga<sub>2</sub>×šid
234;;CUNEIFORM SIGN GA2 TIMES SUM;;120E8;;ga<sub>2</sub>×sum
235;;CUNEIFORM SIGN GA2 TIMES TAK4;;120E9;;ga<sub>2</sub>×tak<sub>4</sub>
236;;CUNEIFORM SIGN GA2 TIMES U;;120EA;;ga<sub>2</sub>×u
237;;CUNEIFORM SIGN GA2 TIMES UD;;120EB;;ga<sub>2</sub>×ud
238;;CUNEIFORM SIGN GA2 TIMES UD PLUS DU;;120EC;;ga<sub>2</sub>×ud+du
239;;CUNEIFORM SIGN GA2 OVER GA2;;120ED;;ga<sub>2</sub>/ga<sub>2</sub>
240;;CUNEIFORM SIGN GABA;;120EE;;gaba
241;;CUNEIFORM SIGN GABA CROSSING GABA;;120EF;;gabakreuztgaba
242;;CUNEIFORM SIGN GAD;;120F0;;gad
243;;CUNEIFORM SIGN GAD OVER GAD GAR OVER GAR;;120F1;;gad/gadgar/gar
244;;CUNEIFORM SIGN GAL;;120F2;;gal
245;;CUNEIFORM SIGN GAL GAD OVER GAD GAR OVER GAR;;120F3;;galgad/gadgar/gar
246;;CUNEIFORM SIGN GALAM;;120F4;;galam
247;;CUNEIFORM SIGN GAM;;120F5;;gam
248;;CUNEIFORM SIGN GAN;;120F6;;gan
249;;CUNEIFORM SIGN GAN2;;120F7;;gan<sub>2</sub>
250;;CUNEIFORM SIGN GAN2 TENU;;120F8;;gan<sub>2</sub>tenû
251;;CUNEIFORM SIGN GAN2 OVER GAN2;;120F9;;gan<sub>2</sub>/gan<sub>2</sub>
252;;CUNEIFORM SIGN GAN2 CROSSING GAN2;;120FA;;gan<sub>2</sub>kreuztgan<sub>2</sub>
253;;CUNEIFORM SIGN GAR;;120FB;;gar
254;;CUNEIFORM SIGN GAR3;;120FC;;gar<sub>3</sub>
255;;CUNEIFORM SIGN GASHAN;;120FD;;gašan
256;;CUNEIFORM SIGN GESHTIN;;120FE;;geštin
257;;CUNEIFORM SIGN GESHTIN TIMES KUR;;120FF;;geštin×kur
258;;CUNEIFORM SIGN GI;;12100;;gi
259;;CUNEIFORM SIGN GI TIMES E;;12101;;gi×e
260;;CUNEIFORM SIGN GI TIMES U;;12102;;gi×u
261;;CUNEIFORM SIGN GI CROSSING GI;;12103;;gikreuztgi
262;;CUNEIFORM SIGN GI4;;12104;;gi<sub>4</sub>
263;;CUNEIFORM SIGN GI4 OVER GI4;;12105;;gi<sub>4</sub>/gi<sub>4</sub>
264;;CUNEIFORM SIGN GI4 CROSSING GI4;;12106;;gi<sub>4</sub>kreuztgi<sub>4</sub>
265;;CUNEIFORM SIGN GIDIM;;12107;;gidim
266;;CUNEIFORM SIGN GIR2;;12108;;gir<sub>2</sub>
267;;CUNEIFORM SIGN GIR2 GUNU;;12109;;gir<sub>2</sub>gunû
268;;CUNEIFORM SIGN GIR3;;1210A;;gir<sub>3</sub>
269;;CUNEIFORM SIGN GIR3 TIMES A PLUS IGI;;1210B;;gir<sub>3</sub>×a+igi
270;;CUNEIFORM SIGN GIR3 TIMES GAN2 TENU;;1210C;;gir<sub>3</sub>×gan<sub>2</sub>tenû
271;;CUNEIFORM SIGN GIR3 TIMES IGI;;1210D;;gir<sub>3</sub>×igi
272;;CUNEIFORM SIGN GIR3 TIMES LU PLUS IGI;;1210E;;gir<sub>3</sub>×lu+igi
273;;CUNEIFORM SIGN GIR3 TIMES PA;;1210F;;gir<sub>3</sub>×pa
274;;CUNEIFORM SIGN GISAL;;12110;;gisal
275;;CUNEIFORM SIGN GISH;;12111;;giš
276;;CUNEIFORM SIGN GISH CROSSING GISH;;12112;;giškreuztgiš
277;;CUNEIFORM SIGN GISH TIMES BAD;;12113;;giš×bad
278;;CUNEIFORM SIGN GISH TIMES TAK4;;12114;;giš×tak<sub>4</sub>
279;;CUNEIFORM SIGN GISH TENU;;12115;;gištenû
280;;CUNEIFORM SIGN GU;;12116;;gu
281;;CUNEIFORM SIGN GU CROSSING GU;;12117;;gukreuztgu
282;;CUNEIFORM SIGN GU2;;12118;;gu<sub>2</sub>
283;;CUNEIFORM SIGN GU2 TIMES KAK;;12119;;gu<sub>2</sub>×kak
